"","CODIGO","MUNICIPIO","AREAKM2","DD2000","DC","EVN2000","M1ANO2000","FT2000","AN25A2000","RPC2000","IG2000","II2000","IP2000","IDH2000","FE2000","ALFA2000","AE25A2000","POP25A1991","POP25A2000","POP65A1991","POP65A2000","POPTOT1991","POPTOT2000","POPURB2000","POPRUR2000","PERC_POP_25A","PERC_POP_65A","PERC_POP_URB","PERC_POP_RUR","key","Grupo"
"82",320030,"Alfredo Chaves (ES)",616.5,22.1,55.42936714,72.02,18.8,2.41,15.13,197.85,0.56,42.6,41.59,0.754,69.43,88.72,4.8,6090,7396,762,1015,12647,13616,5614,8002,54.3184488836663,7.45446533490012,41.2309048178613,58.7690951821387,"320030","1"
"83",350080,"Alfredo Marcondes (SP)",119.8,30.8,520.4969778,76.19,7.89,1.87,13.74,237.32,0.53,48.77,39.47,0.799,79.88,88.8,5.19,1904,2203,273,386,3493,3697,2672,1025,59.5888558290506,10.440898025426,72.2748174195293,27.7251825804707,"350080","1"
"84",310163,"Alfredo Vasconcelos (MG)",122.9,41.5,148.7390286,70.5,27.17,2.58,19.27,144.49,0.52,28.54,41.89,0.72,71.88,84.07,4.27,1983,2646,178,255,4339,5101,3148,1953,51.8721819251127,4.99901980003921,61.7133895314644,38.2866104685356,"310163","1"
"85",420070,"Alfredo Wagner (SC)",733.4,12,78.11151406,74.19,15.32,3.95,15.73,258.12,0.55,34.63,36.55,0.778,70.05,86.99,4.05,4523,4575,404,475,10153,8857,2473,6384,51.6540589364345,5.36298972564074,27.9214180873885,72.0785819126115,"420070","1"
"86",250057,"Algodão de Jandaíra (PB)",454.6,4.9,121.4407649,61.71,54.49,2.89,57.24,56.19,0.51,53.27,60.06,0.552,77.08,51.46,1.76,881,940,154,156,2284,2209,866,1343,42.5531914893617,7.06201901312811,39.2032593933907,60.7967406066093,"250057","2"
"87",250060,"Alhandra (PB)",225.4,70.6,36.43910322,63.41,47.95,3.09,44.96,81.51,0.54,54.47,52.42,0.605,77.01,61.87,2.89,4920,6791,615,761,13394,15914,8943,6971,42.6731180093,4.78195299736081,56.1958024381048,43.8041975618952,"250060","2"
"88",260070,"Aliança (PE)",266.4,139.6,63.21425563,59.69,85.29,3.13,45.98,74.77,0.54,50.6,53.27,0.578,72.09,63.43,3.05,14159,16311,1538,1962,37455,37189,17091,20098,43.8597434725322,5.27575358304875,45.9571378633467,54.0428621366533,"260070","2"
"89",170035,"Aliança do Tocantins (TO)",1586,3.9,142.6625909,67.87,34.09,2.37,22.97,138.04,0.57,34.55,41.96,0.717,89,81.47,4.22,2311,2867,222,358,5906,6177,5120,1057,46.4141168852194,5.79569370244455,82.8881333980897,17.1118666019103,"170035","3"
"90",290090,"Almadina (BA)",247.8,31.4,227.7822316,64.41,44.35,2.83,43.66,84.98,0.54,38.89,49.59,0.623,78.96,65.38,2.55,3696,3511,454,573,10004,7862,5416,2446,44.6578478758586,7.28822182650725,68.8883235817858,31.1116764182142,"290090","2"
"91",170040,"Almas (TO)",4106.4,2.1,201.3707173,60.63,60.74,3.17,31.52,112.05,0.62,60.68,57.41,0.638,77.05,75.54,3.58,2869,3487,344,404,7985,8474,5577,2897,41.1493981590748,4.76752419164503,65.8130752891197,34.1869247108803,"170040","3"
"92",150050,"Almeirim (PA)",73287.8,0.5,453.0553296,69,30.9,4.1,23.13,251.08,0.72,53.48,59.24,0.745,81.44,80.37,4.97,11656,12919,648,926,33442,33957,18916,15041,38.0451747798687,2.72697823718232,55.7057455016639,44.2942544983361,"150050","3"
"93",310170,"Almenara (MG)",2308.6,15.3,530.8081803,64.69,47.21,2.42,40.27,162.67,0.68,39.95,47.96,0.668,77.25,69.34,3.62,14066,17077,1765,2474,33678,35385,27770,7615,48.2605623851915,6.99166313409637,78.4795817436767,21.5204182563233,"310170","3"
